dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1985-03-01,7499.09372629118,56.9864476106542,138.221571428571,27.591,25.998,8.58,56.6645,106.8
1985-04-01,7496.53614782794,56.9941425088132,140.215028571429,27.871,26.548,8.27,56.5122,107
1985-05-01,7535.02935371323,57.0412158849939,137.727081818182,28.156,26.822,7.97,56.5982,107.2
1985-06-01,7582.13449845888,57.1896416061934,138.578895,28.849,27.644,7.53,56.6317,107.5
1985-07-01,7598.92138274566,57.3073876163654,136.083763636364,29.142,28.035,7.88,56.2637,107.7
1985-08-01,7661.70878052053,57.4087639526112,134.147413636364,29.653,28.58,7.9,56.496,107.9
1985-09-01,7704.96983673386,57.5018484310238,131.624415,30.031,28.742,7.92,56.7412,108.1
1985-10-01,7673.89653313774,57.5853890734357,135.494647826087,30.49,29.303,7.99,56.508,108.5
1985-11-01,7695.62992665756,57.7362280798308,140.5404,30.916,29.176,8.05,56.6984,109
1985-12-01,7768.27354020472,57.892382846734,143.787985714286,31.569,30.251,8.27,57.2954,109.5
1986-01-01,7808.88282602238,58.0443756176485,153.889036363636,31.564,30.794,8.14,57.5555,109.9
1986-02-01,7782.67045595438,58.0512771739848,149.300621052632,31.659,30.775,7.86,57.1707,109.7
1986-03-01,7760.74671802328,57.9643472083671,152.49546,32.091,31.33,7.48,56.7784,109.1
1986-04-01,7792.66894850928,58.0302587199871,150.687490909091,32.518,31.625,6.99,56.8228,108.7
1986-05-01,7831.63163059737,58.2696557715166,149.195057142857,33.266,32.39,6.85,56.938,109
1986-06-01,7835.09942089333,58.4560855084965,147.021085714286,33.947,33.144,6.92,56.7427,109.4
1986-07-01,7894.55439919538,58.4426115030962,147.159409090909,34.657,33.917,6.56,57.0569,109.5
1986-08-01,7896.23957189018,58.4240333216223,137.746885714286,35.192,34.319,6.17,56.9807,109.6
1986-09-01,7905.00602891446,58.5943551752819,143.584071428571,35.622,34.613,5.89,57.0954,110
1986-10-01,7915.63233648399,58.7002343869874,142.986208695652,36.262,35.421,5.85,57.3542,110.2
1986-11-01,7930.64548722742,58.7984644728341,140.490521052632,37.271,36.519,6.04,57.623,110.4
1986-12-01,7972.22217628859,58.940301140179,136.563995454545,38.841,38.014,6.91,58.1006,110.8
1987-01-01,7943.33714073066,59.1257410180045,135.0258,39.244,38.664,6.43,57.9173,111.4
1987-02-01,8018.85985302938,59.234885866613,134.216242105263,39.007,38.45,6.1,58.663,111.8
1987-03-01,8022.80300623999,59.3593731153829,133.862890909091,38.828,38.301,6.13,58.7602,112.2
1987-04-01,8059.2182892551,59.5167473089598,140.656842857143,39.534,38.541,6.37,59.1416,112.7
1987-05-01,8089.85453769439,59.6075275480534,150.817095,39.812,38.777,6.85,59.517,113
1987-06-01,8105.02717305053,59.7867251429872,150.027504545455,39.462,38.686,6.73,59.7996,113.5
1987-07-01,8129.92488189263,59.8831653601744,149.880190909091,39.081,38.408,6.58,60.2152,113.8
