dates,data_rs,data_ip,data_neo,data_gdp,data_uclaims
1996m6,-3.588901421,10.09761393,NaN,6.616366365,0.255951891
1996m7,-0.827054883,-1.556884672,NaN,NaN,0.250960651
1996m8,-1.385505359,6.93860228,NaN,NaN,0.247512197
1996m9,12.16206112,8.234602075,NaN,3.571969225,0.254804297
1996m10,6.035117054,-0.713614016,NaN,NaN,0.251258144
1996m11,-4.318779575,10.54778927,NaN,NaN,0.249172265
1996m12,2.54841143,7.773293082,NaN,4.132111339,0.261632855
1997m1,5.765570738,1.699870412,NaN,NaN,0.250265769
1997m2,8.120761459,14.42973228,NaN,NaN,0.236890694
1997m3,3.183802689,8.008566242,NaN,2.573958092,0.23504132
1997m4,-8.987276051,0.281767886,NaN,NaN,0.240412893
1997m5,-9.037879015,7.003716358,NaN,NaN,0.23788009
1997m6,14.46723188,5.839904539,NaN,6.593365424,0.238967484
1997m7,12.4699739,9.11829989,NaN,NaN,0.234654924
1997m8,0.18514103,12.47289517,NaN,NaN,0.241695823
1997m9,2.253063945,10.61257374,NaN,4.972358239,0.230656667
1997m10,-4.712719865,10.28010453,NaN,NaN,0.22688516
1997m11,1.668398999,10.48884295,NaN,NaN,0.229700426
1997m12,3.111511526,3.694575614,NaN,3.420598651,0.228391236
1998m1,0.621335325,6.146771275,NaN,NaN,0.234290091
1998m2,0.503549331,1.575008617,NaN,NaN,0.232656514
1998m3,7.219438073,0.810226957,NaN,3.978072593,0.22953161
1998m4,13.37821292,4.432725267,NaN,NaN,0.226759023
1998m5,2.57059976,7.606226238,NaN,NaN,0.226538159
1998m6,8.079568171,-7.552521439,NaN,3.686191249,0.245898658
1998m7,-10.80688889,-4.175481388,NaN,NaN,0.242026921
1998m8,-6.692074489,24.38012358,NaN,NaN,0.227229774
1998m9,10.23391676,-2.347464722,NaN,4.979150695,0.219834257
1998m10,17.01901349,9.677384628,NaN,NaN,0.224618344
1998m11,7.122738217,-0.779459017,NaN,NaN,0.228355049
1998m12,8.754355749,4.447822376,NaN,6.411855364,0.227938312
1999m1,-0.544279406,5.604468857,NaN,NaN,0.234671194
1999m2,12.82872575,6.382327834,NaN,NaN,0.216957983
1999m3,4.774646949,1.90199713,NaN,3.768083594,0.218229655
1999m4,0.64675147,3.251490737,NaN,NaN,0.22200793
1999m5,9.964688968,8.232924098,NaN,NaN,0.216811519
1999m6,3.357846923,-2.006229946,NaN,3.064862791,0.211011347
1999m7,4.343431223,7.570854074,NaN,NaN,0.213713523
1999m8,9.981487447,5.040360353,NaN,NaN,0.208527577
1999m9,-0.015411091,-5.074356428,NaN,5.2046515,0.207345547
1999m10,0.154102003,15.89745497,NaN,NaN,0.207768421
1999m11,12.20346902,5.653884463,NaN,NaN,0.201214069
1999m12,19.1269252,9.239455356,NaN,6.741214693,0.198677386
2000m1,-11.66082916,0.210263515,NaN,NaN,0.202717426
2000m2,12.71871602,3.561231783,NaN,NaN,0.206204021
2000m3,6.872267126,4.340844569,NaN,1.444429495,0.192896359
2000m4,-17.51603722,8.612241794,NaN,NaN,0.190261364
2000m5,-0.560033309,2.0430688,NaN,NaN,0.198225974
2000m6,1.943859212,1.15122478,NaN,7.258403018,0.204080201
2000m7,-6.965548778,-1.815123129,NaN,NaN,0.207340559
2000m8,1.268784168,-3.512593798,NaN,NaN,0.219452124
2000m9,13.95136315,4.621813534,NaN,0.533864716,0.21064006
2000m10,-4.760553117,-3.542048669,NaN,NaN,0.211047384
2000m11,-5.96790654,0.32575219,NaN,NaN,0.233803388
2000m12,-3.784953724,-3.344735774,NaN,2.483830602,0.241539149
2001m1,6.311716393,-7.749018636,NaN,NaN,0.236439499
2001m2,-2.988812421,-7.70357359,NaN,NaN,0.258348933
2001m3,-10.72240859,-2.809765117,NaN,-1.142340243,0.269030877
2001m4,16.72276116,-3.503184139,NaN,NaN,0.276347958
2001m5,-3.170251816,-7.35370847,NaN,NaN,0.275262005
2001m6,-7.376753928,-7.194962288,NaN,2.331415567,0.27707053
2001m7,-1.818925926,-6.876189624,NaN,NaN,0.277054589
2001m8,8.167324404,-1.488613217,NaN,NaN,0.277770023
2001m9,-27.67046028,-4.597827364,NaN,-1.663607068,0.302106411
2001m10,81.03033578,-5.232960706,NaN,NaN,0.333654901
2001m11,-29.97976424,-5.893599841,NaN,NaN,0.310246811
2001m12,-13.64613356,0.282441396,NaN,1.088004456,0.288832681
2002m1,-2.862268821,7.561371747,NaN,NaN,0.283911233
2002m2,4.504425251,-0.317567165,NaN,NaN,0.27583251
2002m3,-6.71024595,9.748195971,NaN,3.482849956,0.287511853
2002m4,13.77805539,4.945458857,NaN,NaN,0.296596994
2002m5,-17.57432079,5.062583323,NaN,NaN,0.282189626
2002m6,9.486989184,11.36436641,NaN,2.415621406,0.267388542
2002m7,9.844079454,-2.878644214,NaN,NaN,0.266569063
2002m8,5.995226687,0.157031336,NaN,NaN,0.271431428
2002m9,-19.50473841,1.665583519,NaN,1.774344135,0.28134275
2002m10,2.187086651,-3.629953725,NaN,NaN,0.280427213
2002m11,5.895014149,6.247767293,NaN,NaN,0.270406299
2002m12,8.117095402,-5.901031607,NaN,0.618811639,0.285559676
2003m1,0.029686621,9.109331119,NaN,NaN,0.270664739
2003m2,-23.25295453,1.705037752,NaN,NaN,0.281314168
2003m3,19.11200719,-2.779919086,NaN,2.212934314,0.292695621
2003m4,1.637270478,-8.609389638,NaN,NaN,0.297834428
2003m5,5.246518259,0.336489265,NaN,NaN,0.289419795
2003m6,11.64263574,2.006661431,NaN,3.426322672,0.286795506
2003m7,8.505543364,5.272397032,NaN,NaN,0.280916135
2003m8,14.68361911,-1.712978193,NaN,NaN,0.273276657
2003m9,-11.22996085,7.0426754,NaN,6.735804208,0.269910599
2003m10,-3.118763702,1.692771269,NaN,NaN,0.260366967
2003m11,13.89549393,9.210917284,NaN,NaN,0.246938776
2003m12,-7.600878373,-0.854794557,NaN,4.566502539,0.244157597
2004m1,2.025829805,3.06104084,NaN,NaN,0.245297667
2004m2,5.697365759,7.248079094,NaN,NaN,0.245894935
2004m3,18.51248456,-5.983243883,NaN,2.129311719,0.232741725
2004m4,-14.86310016,5.403700983,NaN,NaN,0.237146748
2004m5,15.5713531,9.474567159,NaN,NaN,0.228606399
2004m6,-19.61651468,-9.933884338,NaN,3.036748925,0.236674352
2004m7,12.32990548,9.210404265,NaN,NaN,0.232240067
2004m8,0.975531656,0.884055906,NaN,NaN,0.230916755
2004m9,17.0604585,1.010263398,NaN,3.763551134,0.228775905
2004m10,1.689978161,11.37130151,NaN,NaN,0.225991759
2004m11,-1.626824144,2.514164626,NaN,NaN,0.221885504
2004m12,14.69433158,8.795546291,NaN,3.986762432,0.21967594
2005m1,-10.92514981,5.511882631,NaN,NaN,0.231981571
2005m2,10.70332041,8.224865287,NaN,NaN,0.210125098
2005m3,-2.359473349,-1.905318104,NaN,4.403526149,0.223733245
2005m4,7.030018807,2.019927079,NaN,NaN,0.217020534
2005m5,-6.752192795,1.566029798,NaN,NaN,0.219079331
2005m6,32.90091725,4.593454333,NaN,1.841997537,0.218275506
2005m7,1.54636151,-3.799767267,NaN,NaN,0.217088709
2005m8,-18.7371506,3.297988627,NaN,NaN,0.210810594
2005m9,-14.14161843,-22.61155854,NaN,3.549539666,0.255244942
2005m10,-1.318521307,15.04025914,NaN,NaN,0.234798435
2005m11,17.24783681,12.10249869,NaN,NaN,0.21140839
2005m12,0.280584095,7.41829195,NaN,2.517910999,0.210891155
